admission_no,academic_year,fee_type,payment_mode,monthly_due_date,termly_due_date,yearly_due_date,amount,concession_amount,year_id,concession_remarks
N21NS040,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS052,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS026,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS059,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS041,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS006,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS008,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS015,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS031,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS029,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS004,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS033,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS023,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS010,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS016,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS009,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS032,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS001,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS034,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS042,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS027,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS037,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS046,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS007,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS019,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS045,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS038,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS003,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS005,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS047,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS055,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS018,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS044,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS057,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS036,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS013,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS020,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS049,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS056,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS060,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS002,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS051,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS014,19,B21- Nursing Jan 2026 Exam Reg Fees,Y,,,21-01-2026,7950,,,
N21NS025,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,4500,,,
N21NS039,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N21NS058,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N21NS011,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N21NS048,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N21NS030,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N21NS024,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N21NS028,19,B21- Nursing Jan 2026 Prev Arrear only,Y,,,21-01-2026,3350,,,
N20NS030,19,B20- Nursing Jan 2026 Prev Arrear Only,Y,,,21-01-2026,3350,,,
N20NS041,19,B20- Nursing Jan 2026 Prev Arrear Only,Y,,,21-01-2026,3350,,,
N20NS055,19,B20- Nursing Jan 2026 Prev Arrear Only,Y,,,21-01-2026,3350,,,
